timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708685140944,82,POST Users-0,301,Moved Permanently,Workload Config 1-26,,true,,602,255,1,1,http://reqres.in/api/user,82,0,33
1708685141026,35,POST Users-1,200,OK,Workload Config 1-26,text,true,,1608,143,1,1,https://reqres.in/api/user,35,0,0
1708685141332,124,GET Users,200,OK,Workload Config 1-27,text,true,,1182,122,1,1,https://reqres.in/api/users/2,124,0,80
1708685141457,123,POST Users,200,OK,Workload Config 1-27,text,true,,2210,398,1,1,https://reqres.in/api/user,83,0,38
1708685141457,83,POST Users-0,301,Moved Permanently,Workload Config 1-27,,true,,602,255,1,1,http://reqres.in/api/user,83,0,38
1708685141540,40,POST Users-1,200,OK,Workload Config 1-27,text,true,,1608,143,1,1,https://reqres.in/api/user,40,0,0
1708685141833,120,GET Users,200,OK,Workload Config 1-28,text,true,,1178,122,1,1,https://reqres.in/api/users/2,120,0,79
1708685141954,129,POST Users,200,OK,Workload Config 1-28,text,true,,2220,398,1,1,https://reqres.in/api/user,90,0,32
1708685141954,90,POST Users-0,301,Moved Permanently,Workload Config 1-28,,true,,612,255,1,1,http://reqres.in/api/user,90,0,32
1708685142045,38,POST Users-1,200,OK,Workload Config 1-28,text,true,,1608,143,1,1,https://reqres.in/api/user,38,0,0
1708685142333,109,GET Users,200,OK,Workload Config 1-29,text,true,,1186,122,1,1,https://reqres.in/api/users/2,109,0,65
1708685142443,112,POST Users,200,OK,Workload Config 1-29,text,true,,2225,398,1,1,https://reqres.in/api/user,76,0,34
1708685142443,76,POST Users-0,301,Moved Permanently,Workload Config 1-29,,true,,608,255,1,1,http://reqres.in/api/user,76,0,34
1708685142520,35,POST Users-1,200,OK,Workload Config 1-29,text,true,,1617,143,1,1,https://reqres.in/api/user,35,0,0
1708685142832,123,GET Users,200,OK,Workload Config 1-30,text,true,,1186,122,1,1,https://reqres.in/api/users/2,123,0,72
1708685142956,115,POST Users,200,OK,Workload Config 1-30,text,true,,2224,398,1,1,https://reqres.in/api/user,78,0,39
1708685142956,78,POST Users-0,301,Moved Permanently,Workload Config 1-30,,true,,616,255,1,1,http://reqres.in/api/user,78,0,39
